run_id,seed,scenario_id,fault_type,fault_active,fault_severity,gNb_num,ue_per_gNb,effective_lambda_ull,effective_lambda_be,flow_id,src_ip,dst_ip,protocol,src_port,dst_port,tx_packets,rx_packets,lost_packets,undelivered_packets,tx_bytes,rx_bytes,throughput_mbps,mean_delay_ms,mean_jitter_ms,packet_loss_ratio,undelivered_ratio,time_first_tx_s,time_last_rx_s,flow_duration_s,sim_time_s,source_file
3,1,none,none,0,0,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,5998,0,2,768000,767744,10.236709,0.280519,0.030038,0.0,0.000333,0.4,0.999993,0.599993,1.0,seed1_run3_none.csv
3,1,none,none,0,0,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,4830,0,1170,7680000,6182400,82.455068,59.748659,0.124736,0.0,0.195,0.4,0.999832,0.599832,1.0,seed1_run3_none.csv
3,1,radio_degradation_s1,radio_degradation,1,1,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,5997,0,3,768000,767616,10.236754,0.334075,0.079979,0.0,0.0005,0.4,0.99989,0.59989,1.0,seed1_run3_radio_degradation_s1.csv
3,1,radio_degradation_s1,radio_degradation,1,1,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,1765,0,4235,7680000,2259200,30.131096,212.97352,0.238577,0.0,0.705833,0.4,0.999832,0.599832,1.0,seed1_run3_radio_degradation_s1.csv
3,1,radio_degradation_s2,radio_degradation,1,2,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,5996,0,4,768000,767488,10.234742,0.389787,0.031515,0.0,0.000667,0.4,0.999908,0.599908,1.0,seed1_run3_radio_degradation_s2.csv
3,1,radio_degradation_s2,radio_degradation,1,2,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,753,0,5247,7680000,963840,12.854796,263.662016,0.694215,0.0,0.8745,0.4,0.999832,0.599832,1.0,seed1_run3_radio_degradation_s2.csv
3,1,radio_degradation_s3,radio_degradation,1,3,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,2468,0,3532,768000,315904,4.212699,176.875296,0.142957,0.0,0.588667,0.4,0.999908,0.599908,1.0,seed1_run3_radio_degradation_s3.csv
3,1,radio_degradation_s3,radio_degradation,1,3,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,309,0,5691,7680000,395520,5.275076,285.943929,1.838312,0.0,0.9485,0.4,0.999832,0.599832,1.0,seed1_run3_radio_degradation_s3.csv
3,1,traffic_overload_s1,traffic_overload,1,1,1,2,20000,20000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,12000,11995,0,5,1536000,1535360,20.47171,0.285889,0.020381,0.0,0.000417,0.4,0.999993,0.599993,1.0,seed1_run3_traffic_overload_s1.csv
3,1,traffic_overload_s1,traffic_overload,1,1,1,2,20000,20000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,12000,4830,0,7170,15360000,6182400,82.455068,180.473659,0.124208,0.0,0.5975,0.4,0.999832,0.599832,1.0,seed1_run3_traffic_overload_s1.csv
